epoch,train_loss,val_loss,train_acc,val_acc,test_acc,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
1,1.0972984007426672,1.0843527793884278,0.3591671486408329,0.48604860486048607,0.49010791366906475,0.3337208435799985,0.48648648648648657,0.3825908005144852,0.3453930470315895,0.48966756513926324,0.38716018816538744
2,1.0564473924182711,1.0220845222473145,0.4933487565066512,0.5508550855085509,0.572841726618705,0.6497692091096527,0.5512906437434739,0.4716814305944741,0.6687431460947971,0.5723780384157743,0.48390750188997206
3,0.9650911745570955,0.8767487525939941,0.5519568151147098,0.576957695769577,0.6025179856115108,0.553397606103858,0.5773852019135038,0.5140840161983965,0.6006012698579283,0.6020786284937228,0.5369280866743646
4,0.8071635024888175,0.719073760509491,0.6219394640447272,0.6462646264626463,0.664568345323741,0.6541779062743526,0.6464461766348558,0.6471123034503315,0.6732722922629444,0.6644132002622568,0.6664088915194691
5,0.7406658331553141,0.6958923697471618,0.6423751686909581,0.6516651665166516,0.6690647482014388,0.6729379775442554,0.651771447997863,0.6592995583420912,0.6927932735736041,0.6689759840703237,0.6769238945578232
6,0.7416029175122579,0.6883377313613892,0.6572199730094467,0.666966696669667,0.677158273381295,0.6765152541084287,0.6670794784002331,0.6710765838277544,0.6895537195086626,0.6770670940482262,0.6820967201235782
7,0.716337263584137,0.6744980931282043,0.6589550800077116,0.6705670567056705,0.6825539568345323,0.6841045588659517,0.6706369442218499,0.6759836899316617,0.7014889610291584,0.6825089240183578,0.6892292814420014
8,0.7069063981374105,0.6663262605667114,0.6697513013302487,0.6777677767776777,0.6825539568345323,0.6968944949671779,0.6778247249945363,0.6848511207154028,0.7037842153214798,0.6825113523226731,0.6898404927703955
9,0.6862236545199439,0.6563108921051025,0.6766917293233082,0.684068406840684,0.6906474820143885,0.6997982509481365,0.6841261746922124,0.6900450247857606,0.710443014485648,0.6906097472135208,0.6973959482919753
10,0.6781277401106698,0.6465229034423828,0.6859456333140543,0.6822682268226823,0.6942446043165468,0.6963837771649404,0.6823073747602049,0.6870864905314414,0.7119784085088932,0.6942206357300696,0.6997840963796004
11,0.6836064684958685,0.6497604012489319,0.6857528436475805,0.6921692169216922,0.6906474820143885,0.7103127601519569,0.692146863844977,0.6944795591030798,0.7120969141587699,0.6906704548213982,0.6941533422547668
12,0.660277817930494,0.6464679121971131,0.6926932716406401,0.6948694869486949,0.6987410071942446,0.6987864782847725,0.6949418421116534,0.6965100994852369,0.7076718666525222,0.698696000582793,0.7016661572291469
13,0.6575375880513873,0.6370072364807129,0.7017543859649122,0.711971197119712,0.7158273381294964,0.7215050377833753,0.7120322478813045,0.7158275204343049,0.7302679489288724,0.7157912629610742,0.7209434128666881
14,0.6588765467916217,0.6289547562599183,0.6982841719683825,0.7074707470747075,0.7185251798561151,0.7154514510242244,0.7075107452465943,0.7101580789574036,0.7317940837146892,0.7185255336198733,0.7217313026983762
15,0.6382327846118382,0.6171623945236206,0.7129361866203971,0.7101710171017102,0.7230215827338129,0.7221209642950798,0.7101673101673102,0.7120315883421963,0.7401709604341183,0.7230591777761588,0.7251891449006834
16,0.6337422274407887,0.617122757434845,0.7119722382880278,0.7200720072007201,0.7131294964028777,0.7345036180915233,0.7201282144678371,0.725302574601255,0.7291541909340058,0.7130934168670017,0.7187741829632602
17,0.6313858543123517,0.5926080226898194,0.7142857142857143,0.729072907290729,0.7428057553956835,0.7409979432519043,0.7290959423034895,0.7330635907127944,0.7553454238732243,0.7428012918578957,0.7466376711536385
18,0.6151784459749857,0.5876983642578125,0.7200694042799306,0.7200720072007201,0.7266187050359713,0.7295254866000792,0.7200845049901653,0.7223160108954415,0.7390822558848157,0.7266433549452417,0.7280641164943144
19,0.6120244576817467,0.5882200121879577,0.7272026219394641,0.7227722772277227,0.716726618705036,0.7406395418320814,0.7227362133022511,0.72524952879764,0.7351390078258141,0.7167844394259489,0.7175861123429531
20,0.6207979491778782,0.5919972896575928,0.7177559282822441,0.738073807380738,0.7347122302158273,0.7468580464303304,0.738141375877225,0.7414629516007469,0.7459372943025507,0.7346543308807459,0.7388071568870167
21,0.6086535169964745,0.5713046789169312,0.7218045112781954,0.7353735373537353,0.7338129496402878,0.7431636483503977,0.7354338165658921,0.7385366670261964,0.7429779774790171,0.7337607148927904,0.7373361226982906
22,0.5845103689602443,0.5685744404792785,0.7405051089261615,0.7479747974797479,0.75,0.7520079854415798,0.7480731405259707,0.7491113167876792,0.7571012334906083,0.7499162235011291,0.7523976177319334
23,0.5854747380529132,0.5643534660339355,0.7393483709273183,0.7443744374437443,0.7517985611510791,0.7526012725802476,0.7444112576188049,0.7474208005494082,0.761853287938593,0.7517860178237536,0.7549848123361217
24,0.577087090128944,0.5716834902763367,0.7451320609215346,0.738073807380738,0.7320143884892086,0.751491137994854,0.7380879531822928,0.7422919609521216,0.7493267742744022,0.7320293339161262,0.7362562035834462
25,0.5821405933016822,0.5551370501518249,0.7505301715828031,0.7596759675967597,0.7544964028776978,0.7668502046327087,0.7597265729341202,0.7624188736101885,0.764269803761235,0.7544692940919356,0.7578701594072575
26,0.5683550323758807,0.5442011833190918,0.7514941199151726,0.7587758775877588,0.7634892086330936,0.7656018134259845,0.7588523833806852,0.7611896775755863,0.7714524665517719,0.7634345936232729,0.7664061517528714
27,0.5649517831348237,0.552184796333313,0.7588201272411799,0.7533753375337534,0.7607913669064749,0.7573794107127441,0.7534348364537043,0.7551156095171212,0.7657482599294735,0.760753745659406,0.7625979573773076
28,0.5499886160805112,0.5459218084812164,0.757085020242915,0.7605760576057605,0.7464028776978417,0.7711008999958623,0.7606638983997475,0.763519914928822,0.7592212629084137,0.7463150482018407,0.7501729400867333
29,0.5549166741825285,0.549374258518219,0.7613263929053403,0.7515751575157515,0.7652877697841727,0.7594821578683563,0.7515966100871762,0.7540868233098864,0.7760789936152421,0.7653043879458975,0.7671234913610402
30,0.5500530089650836,0.5491755366325378,0.7615191825718142,0.7524752475247525,0.7553956834532374,0.7635370758298358,0.7524829411621864,0.7555530132016469,0.7705647929411007,0.7554114761661931,0.7587667998530939
31,0.5538044543493361,0.5439700603485107,0.7597840755735492,0.7542754275427542,0.7778776978417267,0.768705193847075,0.7544207280056336,0.7554133249931119,0.791518705880408,0.7777397343435078,0.7784103700285293
32,0.5326102461133685,0.5432905554771423,0.7644110275689223,0.7560756075607561,0.7778776978417267,0.7636938600857545,0.7562006750685996,0.7567863707248822,0.7874143331833444,0.7777834438211796,0.7800737642204453
33,0.5373604084764209,0.5324058473110199,0.7744360902255639,0.7650765076507651,0.7751798561151079,0.7681020711377545,0.7652023991646634,0.7643703388497802,0.7768982417158142,0.7750977392486827,0.7756144209838353
34,0.5315269458861578,0.5339690089225769,0.7701947175631386,0.765976597659766,0.7715827338129496,0.7743748026590888,0.7660693038051528,0.7681978453361514,0.7807881701341258,0.7715135620795998,0.7745921676739286
35,0.5320481799897694,0.5244272649288177,0.7717370348949296,0.783078307830783,0.7850719424460432,0.785363913730149,0.783162137879119,0.783615516755643,0.786461967707193,0.7849906510283868,0.7854280975432378
36,0.5308094308489845,0.5469284534454346,0.7744360902255639,0.7587758775877588,0.7823741007194245,0.7633162794715309,0.758896092858357,0.7588984675024366,0.785777450257922,0.7822758068041087,0.782857487340246
37,0.5294742215247381,0.5204303503036499,0.7723154038943513,0.7731773177317732,0.783273381294964,0.7751157687038569,0.7732692260994147,0.7734578400769926,0.7862603499247757,0.7831937058352153,0.7841453376445998
38,0.5222962768304915,0.5268525063991547,0.7800269905533064,0.7623762376237624,0.7841726618705036,0.7658331434647224,0.762458415288604,0.7635673492669687,0.7897081688580828,0.7841116048663218,0.7862243887397237
39,0.5156839234488351,0.5239750027656556,0.7771351455561982,0.7785778577857786,0.7904676258992805,0.7875477297469554,0.7787086277652314,0.7787448256129302,0.7982262073366923,0.7903644884776959,0.7915189557307104
40,0.5247999145871117,0.5316361129283905,0.7833044148833622,0.7731773177317732,0.7841726618705036,0.7779964765027659,0.7732837959253054,0.7737232126563726,0.7902770823714537,0.784089750127486,0.7860266161683541
41,0.5067968808469319,0.5297753095626831,0.7869674185463659,0.774977497749775,0.7805755395683454,0.7814673957807358,0.7750588863796412,0.7769145931811917,0.7877270337587472,0.7805201427842937,0.7831522267382901
42,0.5137729446093241,0.5315774619579315,0.7860034702139965,0.7704770477047704,0.7868705035971223,0.784557336434422,0.7706369442218498,0.7694693852824711,0.7994953941827139,0.7867317452223114,0.78667290886392
43,0.5238164932954879,0.5218456387519836,0.7757856178908811,0.7704770477047704,0.7715827338129496,0.7748611223598555,0.7705228139190403,0.7722767366939203,0.7784405417206545,0.7715451300356961,0.774160445009861
44,0.5048121370020366,0.5175419926643372,0.7846539425486794,0.7785778577857786,0.802158273381295,0.7856848637234668,0.7786624899832447,0.7804723431500293,0.808806829323843,0.8020956266239284,0.8040651308851684
45,0.5088483137743813,0.5367175340652466,0.7877385772122614,0.7704770477047704,0.7805755395683454,0.782293603619778,0.7705398120492459,0.7739729855359198,0.791559454228293,0.7805371409144994,0.7840218804149895
46,0.5149369736512502,0.5158843576908112,0.7817620975515712,0.7776777677767777,0.7841726618705036,0.7840189754495436,0.7777300211262476,0.7800540538209048,0.7901570557534209,0.784140744518103,0.7864209367565071
47,0.48780744274457294,0.5125408291816711,0.7952573742047426,0.7866786678667866,0.7940647482014388,0.7928573818645539,0.7867560282654623,0.788461405222645,0.7995456862648366,0.794002088341711,0.7958661503180848
48,0.49251810283887953,0.5301365613937378,0.7914015808752651,0.7785778577857786,0.7949640287769785,0.7900715024240869,0.7787401957213279,0.7763461518284679,0.8060156924909622,0.7948325684174741,0.794761858097461
49,0.5081013015338353,0.541196322441101,0.7840755735492577,0.774077407740774,0.7823741007194245,0.7875411224459397,0.7742138364779874,0.774602955292949,0.7952674205010041,0.7822539520652728,0.7836962034892796
50,0.48780744274457294,0.5222971379756928,0.796221322537112,0.774977497749775,0.7877697841726619,0.7777804504579748,0.7751123090745732,0.7730234120348033,0.7916460700737046,0.787654500862048,0.7869934067000516
51,0.4794156097230457,0.5106346368789673,0.794679005205321,0.774977497749775,0.7931654676258992,0.7818038592389617,0.7751220222918337,0.7737438113669933,0.7967793184517027,0.7930550496588232,0.7927529057932
52,0.4821018661771502,0.5175251364707947,0.7989203778677463,0.7821782178217822,0.7769784172661871,0.7910689765413236,0.782287948325684,0.7832136470627821,0.785768323680332,0.7768728297030184,0.7784398608924121
53,0.4920846238022759,0.5093495607376098,0.7960285328706381,0.7821782178217822,0.7967625899280576,0.7868775423922484,0.7821932444573955,0.7836277821440198,0.8029669866857517,0.7967582137393459,0.7983297990444291
54,0.48400183234895977,0.5032127261161804,0.7975708502024291,0.7848784878487849,0.802158273381295,0.7911615854071097,0.7849590830722906,0.7866445928317156,0.8080496063203718,0.802107768145504,0.8041811859983444
55,0.47520988895779565,0.5021439552307129,0.8012338538654328,0.7902790279027903,0.8030575539568345,0.7956420860570793,0.7903669167820112,0.79153826631135,0.8073161859946841,0.8029989558291445,0.8045957774352853
56,0.4702892984662737,0.5090523660182953,0.8016194331983806,0.7857785778577858,0.7940647482014388,0.7917507964284112,0.7858259877127801,0.7880297170888969,0.8010895318160239,0.7940360846021224,0.7965403482590241
57,0.48351969605400447,0.505335557460785,0.8000771158665896,0.7821782178217822,0.7814748201438849,0.7844091315162443,0.7822855200213691,0.7815946120290134,0.7844186093095233,0.781382190816153,0.7820313001563558
58,0.500425568648747,0.5002972662448884,0.7917871602082128,0.7875787578757876,0.7994604316546763,0.788320409392469,0.7876569291663631,0.7876466845162907,0.8007322860415643,0.7993904956169108,0.7998626122169048
59,0.47150924234163194,0.5174587070941925,0.8008482745324851,0.7848784878487849,0.789568345323741,0.7940423564219325,0.784968796289551,0.7868763817528768,0.7963058137191422,0.7894902989242613,0.7914858020433893
60,0.47324674611999873,0.4937565207481384,0.8085598611914402,0.801980198019802,0.8057553956834532,0.8054722018209585,0.8020543454505719,0.8029235318656736,0.8080719094685574,0.805694373618902,0.8066117475061246
61,0.4615459300222851,0.52219660282135,0.8162714478503952,0.7713771377137714,0.8048561151079137,0.7817014409388201,0.7715111337752848,0.7717823574439185,0.8110037286900469,0.8047521915446444,0.8051702243454072
62,0.46611493542080834,0.5119027972221375,0.8085598611914402,0.7875787578757876,0.8057553956834532,0.8004983139752717,0.7877224933828707,0.78721644874626,0.8152404579287057,0.8056360943153397,0.806218416847289
63,0.4728357550643739,0.5161228537559509,0.8064391748602275,0.7812781278127813,0.8003597122302158,0.7883526162628928,0.7813894757290983,0.7818640870608639,0.8054364950037942,0.8002671134746606,0.801226724397547
64,0.4585824580419631,0.5030226528644561,0.805668016194332,0.7902790279027903,0.8129496402877698,0.7991252258274265,0.790388771520847,0.7910164369779903,0.8196121256551319,0.8128554430441223,0.8138569156163427
65,0.46787826078278677,0.4885986328125,0.8093310198573357,0.7956795679567957,0.8129496402877698,0.806740830616263,0.7958281731866638,0.7943676757032921,0.8179786668252019,0.8128360166096016,0.8125946715534754
66,0.46532646956897916,0.5002947926521302,0.8124156545209177,0.7929792979297929,0.8084532374100719,0.8046393894744795,0.7931036157451251,0.7933531183158672,0.8166262273571373,0.8083412253223573,0.8088408870603412
67,0.4648967044694083,0.4968276143074036,0.8070175438596491,0.7920792079207921,0.8066546762589928,0.800612442175442,0.7921808601053884,0.7931677434024852,0.8117278427730651,0.8065709914766518,0.8076487060327365
68,0.4668585345858619,0.4839430212974548,0.8156930788509736,0.7974797479747975,0.8084532374100719,0.8004903210942852,0.7975449843374373,0.7984763364631128,0.8099358874621752,0.8084019329302349,0.8090986814936697
69,0.46836992104848224,0.4811246991157532,0.8104877578561789,0.7956795679567957,0.8048561151079137,0.8014277503212951,0.7957383259270051,0.7976151366656189,0.8095124281977636,0.8048080425438916,0.8065903871296767
70,0.45536477934746517,0.48553283214569093,0.811837285521496,0.7938793879387939,0.8084532374100719,0.8009692372524232,0.7939535222554089,0.7957038126748123,0.8136291816497766,0.8084019329302348,0.8102745019082395
71,0.4431572570687249,0.49211335778236387,0.818199344515134,0.8001800180018002,0.8030575539568345,0.8057067126094649,0.8001942643452078,0.8021009691024256,0.8072866162313398,0.803035380393871,0.8045472557955221
72,0.4420485567478907,0.501588124036789,0.8193560825139773,0.7848784878487849,0.8066546762589928,0.7952699649719723,0.7850173623758528,0.7844240012788674,0.8142023833218414,0.8065394235205557,0.8068966496239002
73,0.4366772997946966,0.49811212420463563,0.8218623481781376,0.7875787578757876,0.8057553956834532,0.7874988396304122,0.7876277895145819,0.7875569528437879,0.8051372317965336,0.805699230227532,0.8053909560182007
74,0.4409301153251103,0.49518609046936035,0.8214767688451899,0.7956795679567957,0.8057553956834532,0.8011716586128927,0.7957043296665938,0.7976986626522797,0.8105994868438291,0.8057356547922586,0.8074183205909482
75,0.4466330139409928,0.4872227609157562,0.8183921341816078,0.8001800180018002,0.8084532374100719,0.802534839340623,0.8001966926495229,0.8009366992009848,0.811211836093988,0.8084407857992764,0.8090611905548912
76,0.4483375535124824,0.5096464812755584,0.8230190861769809,0.7929792979297929,0.7994604316546763,0.7937820507770961,0.7930331949199875,0.7933772110111081,0.799535100633407,0.7994172069643768,0.7993342822123021
77,0.4344365284556434,0.4955142676830292,0.8205128205128205,0.7911791179117912,0.8066546762589928,0.7995781581057386,0.7912775309001724,0.792381605294341,0.8120681570847662,0.8065831329982274,0.8082243745833501
78,0.4301334832395826,0.49822219014167785,0.8243686138422981,0.7965796579657966,0.8075539568345323,0.7979899253572338,0.7966537966537967,0.7969033492158234,0.8075298340824096,0.8074937471163887,0.8074890929825492
79,0.42918097263290766,0.5069910228252411,0.8249469828417196,0.7956795679567957,0.8066546762589928,0.8031855602248762,0.7958111750564582,0.7946250480210248,0.811108431798087,0.8065418518248707,0.8060935448199599
80,0.43666577906835646,0.4757968604564667,0.8226335068440331,0.7929792979297929,0.8156474820143885,0.8017444919924145,0.7931278987882763,0.7912544141626988,0.8203416570423364,0.8155387193123042,0.8153313537466854
81,0.4258301953474681,0.4936277687549591,0.8257181415076152,0.7920792079207921,0.8165467625899281,0.8011424480987296,0.7921832884097034,0.7931242340183715,0.8211665459290379,0.8164711881693014,0.8176049122404218
82,0.43827795414697557,0.49705501794815066,0.8220551378446115,0.783978397839784,0.8066546762589928,0.7977250203056655,0.7841067482576917,0.7846937659111212,0.8147870005105569,0.8065588499550763,0.8079312435930083
83,0.42260321265175227,0.48080079555511473,0.8274532485058801,0.8028802880288028,0.8192446043165468,0.8058626639536822,0.8029455331342125,0.8037010872998205,0.8196946798306978,0.8191908890022098,0.8194078527143419
84,0.4185258419740768,0.5065990507602691,0.8297667245035666,0.8010801080108011,0.8156474820143885,0.8046015471002756,0.8011510162453558,0.8019300895201781,0.8168489516167156,0.8155848570942911,0.8160366844575878
85,0.41898816682043527,0.4940255343914032,0.8276460381723539,0.8028802880288028,0.814748201438849,0.8121757539650595,0.8030183822636653,0.8020043435923414,0.8187703977172548,0.8146426750200336,0.8144820110125108
86,0.4177643259366353,0.5053688108921051,0.8293811451706189,0.7857785778577858,0.7940647482014388,0.7955651862570452,0.7858526990602464,0.7883157077134492,0.800751401252885,0.7940166581676017,0.7963233976028721
87,0.43025618365832735,0.5207403063774109,0.8224407171775593,0.7848784878487849,0.7994604316546763,0.7953018667796249,0.7849323717248247,0.7877822566035494,0.8060549053828817,0.7994172069643768,0.8018056546549038
88,0.4327627221743266,0.4879171550273895,0.8264893001735107,0.7992799279927992,0.8192446043165468,0.8014845630725306,0.7993443578349239,0.7999848848024489,0.8203560741318178,0.8192054588281003,0.8197032086628067
89,0.4127675039427621,0.49731223583221434,0.8345864661654135,0.8046804680468047,0.8039568345323741,0.8088674896272936,0.8047473349360142,0.80581664880133,0.8061610779713538,0.8039119982516209,0.8048846946493572
90,0.4983849397727421,0.5755428075790405,0.7950645845382688,0.7452745274527453,0.7526978417266187,0.7634892119539675,0.7454141473009397,0.7468961252596569,0.7706514708223868,0.7525727884218449,0.7550685265457777
91,0.47319954207965303,0.5072552859783173,0.8018122228648544,0.783978397839784,0.7904676258992805,0.7962961293758362,0.7840946067361161,0.7852052867868783,0.8008442574310838,0.790364488477696,0.792103633251982
92,0.44334681261153447,0.4922243595123291,0.8153074995180258,0.7929792979297929,0.8093525179856115,0.7996302423984417,0.7930866176149195,0.7934118423332256,0.8119021358854853,0.8092712658750395,0.8097701190007612
