epoch,train_loss,val_loss,train_acc,val_acc,test_acc,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
1,0.697431206703186,0.6964319348335266,0.4962138084632517,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
2,0.6952693462371826,0.695539653301239,0.5060133630289533,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
3,0.6938830614089966,0.6948150396347046,0.5020044543429845,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
4,0.6952933073043823,0.6941913962364197,0.4997772828507795,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
5,0.6914583444595337,0.6936140656471252,0.5095768374164811,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
6,0.6933133006095886,0.6930492520332336,0.5042316258351893,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
7,0.691356360912323,0.6924958825111389,0.5211581291759465,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
8,0.6901556253433228,0.6919359564781189,0.5207126948775056,0.498960498960499,0.5,0.2494802494802495,0.5,0.332871012482663,0.25,0.5,0.3333333333333333
9,0.6885141730308533,0.69134521484375,0.534075723830735,0.498960498960499,0.508298755186722,0.49947589098532497,0.49998271092669433,0.34010189849998573,0.752092050209205,0.508298755186722,0.35151429139110446
10,0.6878859996795654,0.6907174587249756,0.5269487750556793,0.5072765072765073,0.516597510373444,0.6265856236786469,0.5082814661134163,0.3578972270568952,0.6043290043290044,0.5165975103734439,0.3879214968144188
11,0.6863543391227722,0.6900395154953003,0.5483296213808463,0.4968814968814969,0.5269709543568465,0.4924585218702866,0.4977524204702628,0.39043778801843315,0.5796592931604374,0.5269709543568465,0.43325700847824744
12,0.6845755577087402,0.6893128752708435,0.5501113585746102,0.5550935550935551,0.5269709543568465,0.5940836688254858,0.5557572614107884,0.50501077171655,0.5433009923432015,0.5269709543568465,0.4777302537781579
13,0.6856685876846313,0.6885372400283813,0.5621380846325167,0.604989604989605,0.578838174273859,0.6223158739715031,0.6053769017980636,0.5909863945578231,0.5919477911646587,0.578838174273859,0.563271336305977
14,0.6855804920196533,0.6876954436302185,0.5492204899777283,0.6112266112266113,0.5809128630705395,0.6184902054467272,0.6114799446749654,0.6054904231196024,0.587051958877466,0.5809128630705395,0.5733915207599418
15,0.6822770833969116,0.686805009841919,0.576837416481069,0.5945945945945946,0.58298755186722,0.5964972527472527,0.5947354771784232,0.5927922999778585,0.5859854431283003,0.58298755186722,0.579320796008667
16,0.6821330189704895,0.6858461499214172,0.5648106904231626,0.5904365904365905,0.58298755186722,0.591491963661775,0.5905428769017981,0.5894143900166822,0.5845732734418866,0.5829875518672198,0.5810236339654464
17,0.6816682815551758,0.6848335862159729,0.5706013363028953,0.5883575883575883,0.5746887966804979,0.5889039524455104,0.5884336099585062,0.5878427503115913,0.5752602359472588,0.5746887966804979,0.5738799308271845
